predclass,age,workclass,native-country,education,marital-status,education-num,capital-gain,capital-loss,sex,race,relationship,sex-marital
0,22,1,7,1,1,12,27,0,1,4,1,6
0,33,4,7,1,0,12,0,0,1,4,0,5
0,21,3,7,5,3,8,0,0,1,4,1,8
0,36,3,7,3,0,6,0,0,1,2,0,5
0,11,3,6,1,0,12,0,0,0,2,5,0
0,20,3,7,6,0,13,0,0,0,4,5,0
0,32,3,6,3,2,4,0,0,0,2,1,2
1,35,4,7,5,0,8,0,0,1,4,0,5
1,14,3,7,6,1,13,109,0,0,4,1,1
1,25,3,7,1,0,12,81,0,1,4,0,5
1,20,3,7,4,0,9,0,0,1,2,0,5
1,13,1,1,1,0,12,0,0,1,1,0,5
0,6,3,7,1,1,12,0,0,0,4,3,1
0,15,3,7,0,1,11,0,0,1,2,1,6
1,23,3,8,0,0,10,0,0,1,1,0,5
0,17,3,6,3,0,3,0,0,1,0,0,5
0,8,4,7,5,1,8,0,0,1,4,3,6
0,15,3,7,5,1,8,0,0,1,4,4,6
0,21,3,7,3,0,6,0,0,1,4,0,5
1,26,4,7,6,3,13,0,0,0,4,4,3
1,23,3,7,2,0,15,0,0,1,4,0,5
0,37,3,7,5,3,8,0,0,0,2,4,3
0,18,0,7,3,0,4,0,0,1,2,0,5
0,26,3,7,3,0,6,0,59,1,4,0,5
0,42,3,7,5,3,8,0,0,0,4,4,3
1,39,1,7,1,0,12,0,0,1,4,0,5
0,2,3,7,5,1,8,0,0,1,4,3,6
1,37,5,4,4,0,9,0,0,1,1,0,5
0,22,3,7,5,3,8,0,0,1,4,1,8
0,32,3,7,5,0,8,0,0,1,4,0,5
0,6,1,7,0,1,11,0,0,1,4,1,6
0,3,3,7,4,1,9,0,0,1,2,3,6
0,28,3,7,1,3,12,0,15,1,4,3,8
0,13,0,7,4,0,9,0,0,1,4,3,5
0,5,1,7,4,0,9,0,0,1,2,0,5
0,31,3,6,3,1,6,0,0,1,4,4,6
0,4,3,7,4,1,9,0,0,1,4,3,6
0,2,3,7,5,0,8,0,0,0,4,5,0
1,14,3,8,4,0,9,0,0,1,4,0,5
0,31,4,7,0,0,11,0,0,1,4,0,5
0,14,3,7,3,0,4,0,0,1,4,0,5
0,36,4,7,1,0,12,0,0,1,4,0,5
0,7,3,7,1,0,12,0,0,1,4,0,5
0,32,3,7,5,3,8,0,0,0,4,4,3
0,8,3,7,5,1,8,0,0,1,4,1,6
1,40,0,7,1,0,12,0,0,1,2,0,5
0,36,3,7,5,0,8,0,0,1,4,0,5
0,27,3,7,6,3,13,0,0,0,4,4,3
0,24,1,7,0,0,10,0,0,1,4,0,5
0,12,3,7,0,1,10,0,0,1,4,1,6
0,8,3,7,4,0,9,0,0,0,3,5,0
0,1,3,8,5,1,8,0,0,0,4,3,1
1,30,3,6,7,0,14,0,51,0,4,5,0
1,33,0,7,1,3,12,0,0,1,4,1,8
0,30,4,7,5,3,8,0,0,1,4,1,8
1,26,3,7,4,0,9,0,0,1,4,0,5
0,29,3,6,3,0,2,0,0,1,4,0,5
0,18,3,6,0,0,10,0,0,1,4,0,5
0,24,3,7,5,0,8,0,0,1,4,0,5
0,13,3,7,5,0,8,79,0,1,4,0,5
0,13,3,7,1,0,12,36,0,1,4,0,5
0,15,5,8,3,2,3,0,0,1,4,1,7
0,31,3,7,5,0,8,0,0,1,4,0,5
1,25,3,7,2,0,15,0,0,1,4,0,5
0,12,3,7,4,3,9,0,0,1,4,1,8
0,19,3,7,5,0,8,0,0,1,4,0,5
0,11,3,7,4,3,9,0,0,0,4,1,3
1,36,3,7,5,0,8,0,0,0,4,5,0
1,32,4,7,4,0,9,0,0,1,4,0,5
0,8,5,7,4,1,9,0,0,1,4,3,6
0,2,3,7,4,1,9,0,0,1,4,3,6
0,14,3,7,1,3,12,0,0,0,2,3,3
1,12,4,7,1,0,12,0,0,1,4,0,5
0,6,3,7,4,1,9,0,0,1,4,1,6
0,62,3,7,4,0,9,0,0,1,4,2,5
0,10,3,6,5,1,8,0,0,1,4,3,6
0,23,3,7,0,0,11,0,0,1,4,0,5
0,50,5,7,3,0,5,0,0,1,4,0,5
0,1,3,7,3,1,6,0,0,0,4,3,1
0,14,1,7,3,0,3,0,0,1,4,0,5
0,1,3,7,5,1,8,0,0,1,4,1,6
0,35,3,6,1,0,12,0,0,1,4,0,5
0,29,3,7,5,0,8,0,0,0,4,5,0
0,42,3,7,5,0,8,0,0,1,4,0,5
1,27,3,7,5,3,8,110,0,0,4,1,3
0,36,3,7,5,3,8,0,0,0,4,3,3
1,32,1,7,5,0,8,0,0,1,4,0,5
0,16,3,7,6,0,13,0,0,1,4,0,5
0,13,3,7,3,1,4,0,0,1,4,1,6
1,26,0,7,2,1,15,0,0,0,4,1,1
0,40,3,7,0,0,10,0,0,1,4,0,5
